raw_data_shape,xy_size,z_size,min_psnr,max_psnr,stacksize,virtual_size,psnr_sampling,max_probability,depth,start_filts,z_conv_stage,group_norm,masked,loss_function,up_mode,activation,block_type,name,lr,patience,batch_size,epochs,depth_scale,rotation,down_mode,Mean_psnr,Std_psnr,Min_psnr,Max_psnr,Mean_ssim,Std_ssim,Min_ssim,Max_ssim
"(3400, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,FALSE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,37.07361102,0.939385508,33.13909602,39.85927364,0.975215778,0.00451114916,0.955876069,0.983566311
"(3400, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,FALSE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,36.52718007,1.557881426,30.55784749,40.17285515,0.9762876963,0.005960091968,0.9415936569,0.9843884755
"(3990, 512, 512)",256,32,-15.48838973,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,33.93436428,0.9896442073,29.30583207,36.57263873,0.9594073012,0.006530431391,0.9240445882,0.9734360499
"(3990, 512, 512)",256,32,-15.48838973,0.999999,1000,1000,signal,0.99999999,4,40,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,25,4,500,2,0,maxpool,33.83057097,1.132444932,29.08388279,36.70032641,0.9584839782,0.008062609358,0.9236039408,0.9738991376
"(3990, 512, 512)",256,32,0.2,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,33.68694956,1.072406558,29.30510821,36.78310763,0.957449877,0.007193588961,0.9242816075,0.9736232891
"(3990, 512, 512)",256,32,-15.48838973,0.9999,1000,1000,signal,0.99999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,25,4,500,2,0,maxpool,33.66415335,1.07400563,28.99955086,36.48333169,0.9576007645,0.007643353324,0.91958491,0.9739218059
"(3990, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,4,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,33.49796163,1.05513449,28.92695118,36.50982303,0.9570154206,0.00730121202,0.9233927837,0.9731780685
"(3990, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,4,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,250,2,0,maxpool,33.46302324,1.118274314,28.90255273,36.58338197,0.9550791407,0.008597635291,0.9210422638,0.9722856825
"(3990, 512, 512)",256,32,-15.48838973,0.999999,1000,1000,signal,0.999999,4,32,3,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,33.35859171,1.107830506,28.85848104,36.60702423,0.9545729374,0.009266690004,0.9215773032,0.9720497065
"(3990, 512, 512)",256,32,0.999,0.999,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0002,5,4,500,2,0,maxpool,33.34500028,1.070366547,28.66376253,36.11360506,0.9537672037,0.008094142925,0.9159132925,0.9703975936
"(3990, 512, 512)",256,32,0.5,0.999999,1000,1000,signal,0.99999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,25,4,500,2,0,maxpool,33.34131147,1.020321929,29.08796133,36.42749462,0.9548453952,0.007542320876,0.9223339442,0.97207578
"(3400, 512, 512)",256,32,0.2,0.8,1000,1000,signal,0.5,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,33.18625312,1.492044572,28.12245951,36.49614683,0.9530690993,0.01155852272,0.8993995492,0.9696024598
"(3990, 512, 512)",256,32,0.4,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,33.16068432,0.9999796719,28.85709875,36.16253695,0.9517801754,0.007917612768,0.9136534431,0.9700836516
"(3400, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,150,2,0,maxpool,33.12532179,1.440386448,27.9865215,36.15869175,0.9521568418,0.01106681732,0.8994598776,0.9687063138
"(3990, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,5,32,1,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,250,2,0,maxpool,33.1075673,1.022445769,29.19164212,36.53591993,0.954394048,0.007843941357,0.9245855315,0.9702527709
"(3990, 512, 512)",256,32,0.6,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,33.10518306,1.010845758,28.73018233,36.03502568,0.9528591892,0.00811086342,0.9149124283,0.9704317609
"(3990, 512, 512)",256,32,0,0.999999,1000,1000,signal,0.9999999,4,32,1,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,250,2,0,maxpool,32.84639681,0.9299727568,29.10795519,35.29412982,0.9498143294,0.008271506319,0.9209695031,0.9671760937
"(3990, 512, 512)",256,32,-15.48838973,-10.53726315,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,4,250,2,10,,32.62127826,0.9859223359,28.53956943,35.48478588,0.9375388952,0.01020022667,0.8948561923,0.9597185235
"(3990, 512, 512)",256,32,0.8,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,32.55182038,0.9659227819,28.66173293,35.57409137,0.9462196608,0.008782639808,0.9140969617,0.9664200872
